Date,Open,High,Low,Close,Adj Close,Volume,Change Percent,Temp Change Percent,Temp std derivation,Low Bound, High Bound,Fat change,Basic changes, Bottom,Top, Fat Position Change, Basic Position Change, Basic Change Price, Position, Offset, Cash,trading profit,Balance, fat_position, fat_cash, fat_balance
11/13/2014,67.78,69.18,67.78,68.99,61.2858,2.1747e+06,0.0211664,0.0211664,0.0227153,-0.023851, 0.0227153,0,0.0211664, 54.1603,100.262, 0, -20.9455, 60.6474, 492.243, 0, 12618.1,15.6465,42785.6, 2576.39, -76878.9, 81017.5
11/14/2014,69.06,70.07,69.04,69.57,61.8011,2.1165e+06,0.00840679,0.00840679,0.0228147,-0.0239554, 0.0228147,0,0.00840679, 54.0349,100.262, 0, -8.37165, 61.5429, 483.871, 0, 13149.3,16.0169,43053, 2576.39, -76878.9, 82344.9
11/17/2014,69.24,69.31,67.83,68.54,60.8861,1.369e+06,-0.0148048,-0.0148048,0.0224955,-0.0236203, 0.0224955,0,-0.0148048, 54.4392,100.262, 0, 14.9155, 61.3419, 498.786, 0, 12249.9,15.5209,42619, 2576.39, -76878.9, 79987.6
11/18/2014,68.89,70.33,68.79,69.82,62.0232,1.6159e+06,0.0186753,0.0186753,0.0225745,-0.0237032, 0.0225745,0,0.0186753, 54.3387,100.262, 0, -18.5031, 61.452, 480.283, 0, 13402.6,15.6582,43191.3, 2576.39, -76878.9, 82917.2
11/19/2014,69.94,70.62,69.67,70.06,62.2364,1.7386e+06,0.0034373,0.0034373,0.0220066,-0.0231069, 0.0220066,0,0.0034373, 55.0672,100.262, 0, -3.4314, 62.1297, 476.852, 0, 13630.8,15.0444,43308.4, 2576.39, -76878.9, 83466.4
11/20/2014,70.38,70.46,69.69,70.08,62.2541,945100,0.000285332,0.000285332,0.0219959,-0.0230957, 0.0219959,0,0.000285332, 55.0811,100.262, 0, -0.285291, 62.2452, 476.567, 0, 13663.6,15.0577,43331.9, 2576.39, -76878.9, 83512.2
11/21/2014,70.75,70.85,70.23,70.42,62.5562,1.2746e+06,0.00485173,0.00485173,0.0210354,-0.0220872, 0.0210354,0,0.00485173, 56.3475,100.262, 0, -4.84, 62.405, 471.727, 0, 13979.5,13.8067,43488.9, 2576.39, -76878.9, 84290.4
11/24/2014,70.9,71.36,70.75,71.28,63.3201,1.085e+06,0.0122125,0.0122125,0.0209724,-0.022021, 0.0209724,0,0.0122125, 56.4321,100.262, 0, -12.1386, 62.937, 459.588, 0, 14757.3,13.8411,43858.5, 2576.39, -76878.9, 86258.6
11/25/2014,71.03,71.22,70.59,70.83,62.9204,1.1618e+06,-0.00631297,-0.00631297,0.0198633,-0.0208565, 0.0198633,0,-0.00631297, 57.9529,100.262, 0, 6.33298, 63.1199, 465.921, 0, 14370,12.452,43686, 2576.39, -76878.9, 85228.8
11/26/2014,70.63,70.68,69.87,70.24,62.3963,1.0619e+06,-0.00833008,-0.00833008,0.0198594,-0.0208524, 0.0198594,0,-0.00833008, 57.9584,100.262, 0, 8.36497, 62.6578, 474.286, 0, 13858.2,12.356,43451.9, 2576.39, -76878.9, 83878.4
