Date,Open,High,Low,Close,Adj Close,Volume,Change Percent,Temp Change Percent,Temp std derivation,Low Bound, High Bound,Fat change,Basic changes, Bottom,Top, Fat Position Change, Basic Position Change, Basic Change Price, Position, Offset, Cash,trading profit,Balance, fat_position, fat_cash, fat_balance, orig_position, orig_trade_profit, orig_cash, orig_balance
04/09/2019,186.49,187.89,186.16,187.19,187.19,1.15782e+07,0.00369974,0.00369974,0.0146979,-0.0146979, 0.0146979,0,0.00369974, 62.5933,140.835, 0, 0, 186.845, 0, 0, 40856.4,24.9334,40856.4, 0, 49.059, 157.989, -284.535, 20.182, 82366.5, 29104.3
04/10/2019,186.69,187.4,184,186.19,186.19,1.0655e+07,-0.00534217,-0.00534217,0.0147074,-0.0147074, 0.0147074,0,-0.00534217, 62.5933,140.835, 0, 0, 186.689, 0, 0, 40881.2,24.8323,40881.2, 0, 49.059, 157.989, -279.179, 20.1913, 81386.7, 29406.4
04/11/2019,185.15,186.06,183.75,184.98,184.98,8.9003e+06,-0.00649877,-0.00649877,0.0147182,-0.0147182, 0.0147182,0,-0.00649877, 62.5933,140.835, 0, 0, 185.584, 0, 0, 40905.9,24.7069,40905.9, 0, 49.059, 157.989, -272.659, 20.101, 80196.7, 29760.3
04/12/2019,187.71,189.79,187.14,188.91,188.91,1.26e+07,0.0212456,0.0212456,0.0146831,-0.0146831, 0.0146831,0.00646752,0.0146831, 62.5933,140.835, 0, 0, 186.333, 0, 0, 40931,25.1118,40931, 0, 49.059, 157.989, -293.682, 20.1509, 84146.8, 28667.4
04/15/2019,188.06,188.17,182.56,183.07,183.07,1.46166e+07,-0.0309142,-0.0309142,0.0151517,-0.0151517, 0.0151517,-0.016005,-0.0151517, 62.5933,140.835, 0, 0, 187.473, 0, 0, 40956.9,25.9135,40956.9, 0, 49.059, 157.989, -262.28, 21.3466, 78328.4, 30312.9
04/16/2019,185.55,185.79,183.4,185.78,185.78,1.21959e+07,0.014803,0.014803,0.0158617,-0.0158617, 0.0158617,0,0.014803, 62.5933,140.835, 0, 0, 184.42, 0, 0, 40985.8,28.8193,40985.8, 0, 49.059, 157.989, -276.974, 23.1994, 81061.6, 29605.3
04/17/2019,187.34,188.2,185.78,187.55,187.55,1.16142e+07,0.00952742,0.00952742,0.0159533,-0.0159533, 0.0159533,0,0.00952742, 62.5933,140.835, 0, 0, 186.663, 0, 0, 41015.2,29.4311,41015.2, 0, 49.059, 157.989, -286.457, 23.7537, 82855.3, 29130.4
04/18/2019,186.41,187.28,185.39,186.94,186.94,7.8825e+06,-0.00325247,-0.00325247,0.0160145,-0.0160145, 0.0160145,0,-0.00325247, 62.5933,140.835, 0, 0, 187.245, 0, 0, 41044.8,29.5608,41044.8, 0, 49.059, 157.989, -283.199, 24.0108, 82269.4, 29328.2
04/22/2019,184.5,186.47,183.61,185.38,185.38,8.6778e+06,-0.00834491,-0.00834491,0.0143559,-0.0143559, 0.0143559,0,-0.00834491, 62.5933,140.835, 0, 0, 186.158, 0, 0, 41068.3,23.5564,41068.3, 0, 49.059, 157.989, -274.819, 19.1828, 80728.5, 29782.6
04/23/2019,186,188.15,185.44,187.29,187.29,1.14106e+07,0.0103031,0.0103031,0.0142173,-0.0142173, 0.0142173,0,0.0103031, 62.5933,140.835, 0, 0, 186.333, 0, 0, 41091.7,23.3417,41091.7, 0, 49.059, 157.989, -285.069, 18.8318, 82657.4, 29266.7
04/24/2019,186.76,186.9,184.58,185.67,185.67,9.0853e+06,-0.00864966,-0.00864966,0.0132503,-0.0132503, 0.0132503,0,-0.00864966, 62.5933,140.835, 0, 0, 186.478, 0, 0, 41111.8,20.0993,41111.8, 0, 49.059, 157.989, -276.382, 16.3701, 81053.7, 29737.9
04/25/2019,185.24,188.13,183.955,187.88,187.88,1.03289e+07,0.0119029,0.0119029,0.0133752,-0.0133752, 0.0133752,0,0.0119029, 62.5933,140.835, 0, 0, 186.772, 0, 0, 41132.5,20.7236,41132.5, 0, 49.059, 157.989, -288.215, 16.7063, 83280.4, 29130.7
04/26/2019,187.88,188.74,185.51,187.09,187.09,9.4211e+06,-0.00420486,-0.00420486,0.0135213,-0.0135213, 0.0135213,0,-0.00420486, 62.5933,140.835, 0, 0, 187.485, 0, 0, 41153.6,21.0898,41153.6, 0, 49.059, 157.989, -284.001, 17.1385, 82507.6, 29373.9
